filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
AADS-201-01_Yoo__Jaeyeon_Spring_2025.html,Spring 2025,AADS-201-01 : INTRO ASIAN AMER DIASP STUDIES.AADS-201-01.AMES-276-01.ENGLISH-275-01.GSF-203-01.HISTORY-274-01.ICS-286-01.,Jaeyeon Yoo,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
AADS-201-01_Yoo__Jaeyeon_Spring_2025.html,Spring 2025,AADS-201-01 : INTRO ASIAN AMER DIASP STUDIES.AADS-201-01.AMES-276-01.ENGLISH-275-01.GSF-203-01.HISTORY-274-01.ICS-286-01.,Jaeyeon Yoo,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
AADS-201-01_Yoo__Jaeyeon_Spring_2025.html,Spring 2025,AADS-201-01 : INTRO ASIAN AMER DIASP STUDIES.AADS-201-01.AMES-276-01.ENGLISH-275-01.GSF-203-01.HISTORY-274-01.ICS-286-01.,Jaeyeon Yoo,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,14/17 (82.35%),4.50,0.52,4.50
AADS-201-01_Yoo__Jaeyeon_Spring_2025.html,Spring 2025,AADS-201-01 : INTRO ASIAN AMER DIASP STUDIES.AADS-201-01.AMES-276-01.ENGLISH-275-01.GSF-203-01.HISTORY-274-01.ICS-286-01.,Jaeyeon Yoo,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,14/17 (82.35%),4.50,0.52,4.50
AADS-201-01_Yoo__Jaeyeon_Spring_2025.html,Spring 2025,AADS-201-01 : INTRO ASIAN AMER DIASP STUDIES.AADS-201-01.AMES-276-01.ENGLISH-275-01.GSF-203-01.HISTORY-274-01.ICS-286-01.,Jaeyeon Yoo,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),0,0.00%,14/17 (82.35%),4.50,0.52,4.50
AADS-201-01_Yoo__Jaeyeon_Spring_2025.html,Spring 2025,AADS-201-01 : INTRO ASIAN AMER DIASP STUDIES.AADS-201-01.AMES-276-01.ENGLISH-275-01.GSF-203-01.HISTORY-274-01.ICS-286-01.,Jaeyeon Yoo,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),7,50.00%,14/17 (82.35%),4.50,0.52,4.50
AADS-201-01_Yoo__Jaeyeon_Spring_2025.html,Spring 2025,AADS-201-01 : INTRO ASIAN AMER DIASP STUDIES.AADS-201-01.AMES-276-01.ENGLISH-275-01.GSF-203-01.HISTORY-274-01.ICS-286-01.,Jaeyeon Yoo,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),7,50.00%,14/17 (82.35%),4.50,0.52,4.50
AADS-201-01_Yoo__Jaeyeon_Spring_2025.html,Spring 2025,AADS-201-01 : INTRO ASIAN AMER DIASP STUDIES.AADS-201-01.AMES-276-01.ENGLISH-275-01.GSF-203-01.HISTORY-274-01.ICS-286-01.,Jaeyeon Yoo,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
AADS-201-01_Yoo__Jaeyeon_Spring_2025.html,Spring 2025,AADS-201-01 : INTRO ASIAN AMER DIASP STUDIES.AADS-201-01.AMES-276-01.ENGLISH-275-01.GSF-203-01.HISTORY-274-01.ICS-286-01.,Jaeyeon Yoo,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,16/17 (94.12%),4.25,0.58,4.00
AADS-201-01_Yoo__Jaeyeon_Spring_2025.html,Spring 2025,AADS-201-01 : INTRO ASIAN AMER DIASP STUDIES.AADS-201-01.AMES-276-01.ENGLISH-275-01.GSF-203-01.HISTORY-274-01.ICS-286-01.,Jaeyeon Yoo,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,16/17 (94.12%),4.25,0.58,4.00
AADS-201-01_Yoo__Jaeyeon_Spring_2025.html,Spring 2025,AADS-201-01 : INTRO ASIAN AMER DIASP STUDIES.AADS-201-01.AMES-276-01.ENGLISH-275-01.GSF-203-01.HISTORY-274-01.ICS-286-01.,Jaeyeon Yoo,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Average,(3),1,6.25%,16/17 (94.12%),4.25,0.58,4.00
AADS-201-01_Yoo__Jaeyeon_Spring_2025.html,Spring 2025,AADS-201-01 : INTRO ASIAN AMER DIASP STUDIES.AADS-201-01.AMES-276-01.ENGLISH-275-01.GSF-203-01.HISTORY-274-01.ICS-286-01.,Jaeyeon Yoo,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Very Good,(4),10,62.50%,16/17 (94.12%),4.25,0.58,4.00
AADS-201-01_Yoo__Jaeyeon_Spring_2025.html,Spring 2025,AADS-201-01 : INTRO ASIAN AMER DIASP STUDIES.AADS-201-01.AMES-276-01.ENGLISH-275-01.GSF-203-01.HISTORY-274-01.ICS-286-01.,Jaeyeon Yoo,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Excellent,(5),5,31.25%,16/17 (94.12%),4.25,0.58,4.00
AADS-201-01_Yoo__Jaeyeon_Spring_2025.html,Spring 2025,AADS-201-01 : INTRO ASIAN AMER DIASP STUDIES.AADS-201-01.AMES-276-01.ENGLISH-275-01.GSF-203-01.HISTORY-274-01.ICS-286-01.,Jaeyeon Yoo,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Poor,(1),0,0.00%,16/17 (94.12%),4.50,0.73,5.00
AADS-201-01_Yoo__Jaeyeon_Spring_2025.html,Spring 2025,AADS-201-01 : INTRO ASIAN AMER DIASP STUDIES.AADS-201-01.AMES-276-01.ENGLISH-275-01.GSF-203-01.HISTORY-274-01.ICS-286-01.,Jaeyeon Yoo,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Marginal,(2),0,0.00%,16/17 (94.12%),4.50,0.73,5.00
AADS-201-01_Yoo__Jaeyeon_Spring_2025.html,Spring 2025,AADS-201-01 : INTRO ASIAN AMER DIASP STUDIES.AADS-201-01.AMES-276-01.ENGLISH-275-01.GSF-203-01.HISTORY-274-01.ICS-286-01.,Jaeyeon Yoo,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Average,(3),2,12.50%,16/17 (94.12%),4.50,0.73,5.00
AADS-201-01_Yoo__Jaeyeon_Spring_2025.html,Spring 2025,AADS-201-01 : INTRO ASIAN AMER DIASP STUDIES.AADS-201-01.AMES-276-01.ENGLISH-275-01.GSF-203-01.HISTORY-274-01.ICS-286-01.,Jaeyeon Yoo,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Very Good,(4),4,25.00%,16/17 (94.12%),4.50,0.73,5.00